# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       1       0       3.095200e+04  2.100000e+02  4.8950317406907785e-02   8.3776384624695888e-01   -1.2154672278444130e+00  4.8849574664113035e-02   8.4148850733183234e-01   -1.2059240796598847e+00  2.9503329260546018e+01   3.4149758953596404e+01   2.9326700859583152e+01   3.4190045811088346e+01 
1       0       0       -1      0       3.149600e+04  2.440000e+02  4.8950317406907785e-02   -8.3776384624695888e-01  1.9261254257453804e+00   4.9076566328514669e-02   -8.2963126275247812e-01  1.9331292409650769e+00   2.9225004229354397e+01   -2.9927780233501760e+01  2.9557562429557130e+01   -2.9773352176478138e+01
2       1       0       0       2       1.333610e+05  7.710000e+02  5.3182017892443430e-02   6.3729597123073090e-01   1.3311650806341209e+00   5.3393371478985062e-02   6.3664835980269718e-01   1.3410486401286685e+00   3.8008669770620159e+01   2.9994590998802931e+01   3.8173040159672261e+01   3.0081625538903154e+01 
3       1       0       0       -2      1.957960e+05  1.296000e+03  5.3182017892443430e-02   -6.3729597123073090e-01  -1.8104275729556722e+00  5.3119376852861035e-02   -6.3419714968567209e-01  -1.7988139433822345e+00  3.8329035691239852e+01   -2.5755241184397782e+01  3.8374162019050331e+01   -2.5605438625575317e+01
4       2       0       -1      1       4.079100e+04  3.450000e+02  5.5770261376548468e-02   -3.7753600916076130e-01  1.6982859503956471e+00   5.5888500006240870e-02   -3.7285414525311156e-01  1.7030817443014052e+00   4.6062701062758791e+01   -1.5949521023120875e+01  4.6242234903283389e+01   -1.5773015986492844e+01
5       2       0       1       -1      4.133500e+04  3.930000e+02  5.5770261376548468e-02   3.7753600916076130e-01   -1.4433067031941460e+00  5.5571753426659168e-02   3.7856744044437568e-01   -1.4381982319336517e+00  4.6319313568242620e+01   2.0276080044389882e+01   4.6139200287147055e+01   2.0257790027247314e+01 
6       3       0       -1      2       5.522000e+03  6.800000e+01  7.2384351169889810e-02   -6.5493183773336502e-02  1.5864369733887540e+00   7.2510245131803125e-02   -6.0440888150882645e-02  1.5810480085668592e+00   6.4056535774522402e+01   -1.9605087424700265e+00  6.4188620805196948e+01   -1.6451064865257308e+00
7       3       0       1       -2      5.457000e+03  8.300000e+01  7.2384351169889810e-02   6.5493183773336502e-02   -1.5551556802010391e+00  7.2183925755913300e-02   6.4155738821944516e-02   -1.5607063837319830e+00  6.4350903062017522e+01   6.3944658878353984e+00   6.4177951472407386e+01   6.2973269998422872e+00 
8       5       -1      1       3       2.817200e+04  1.370000e+02  9.3515149201985309e-02   9.9805104104987152e-01   1.9117424907429030e+00   9.3977811379107670e-02   1.0005162871377358e+00   1.8931771486676106e+00   4.4778738430187076e+01   7.1497500760845739e+01   4.4832453217084215e+01   7.1953026937344589e+01 
9       5       -1      0       3       1.820000e+02  9.000000e+00  9.3593325520647017e-02   4.6746986382841049e-01   1.9316666781947263e+00   9.3974783318091462e-02   4.7251616222184017e-01   1.9054867394148112e+00   7.3896400983451002e+01   3.9467578983112006e+01   7.4013616425565601e+01   3.9993436873677737e+01 
10      5       0       -1      3       1.400000e+01  7.000000e+00  9.3729173566035565e-02   1.1868260129790582e-01   1.5167608222730300e+00   9.4547296652908008e-02   1.1750332477628780e-01   1.4731275909731718e+00   8.2507143315358519e+01   1.2068490077007985e+01   8.3254233295848252e+01   1.2059158933268408e+01 
11      5       1       -1      -3      2.881700e+04  1.620000e+02  9.3515149201985309e-02   -9.9805104104987152e-01  -1.2298501628468903e+00  9.3443498157867524e-02   -1.0029311604346713e+00  -1.2495665024397686e+00  4.5727485637023676e+01   -6.7248028999095268e+01  4.5349624390680894e+01   -6.7413415077964743e+01
12      5       0       1       -3      6.649200e+04  7.910000e+02  9.3729173566035565e-02   -1.1868260129790582e-01  -1.6248318313167633e+00  9.3510205183324674e-02   -1.3582441030346309e-01  -1.6249090025253428e+00  8.2865984416998714e+01   -7.5266301747176101e+00  8.2497631996136462e+01   -8.9090530726857544e+00
13      5       1       0       -3      7.210000e+03  4.200000e+01  9.3593325520647017e-02   -4.6746986382841049e-01  -1.2099259753950669e+00  9.3379577153169774e-02   -4.6585979892188512e-01  -1.2272993846066664e+00  7.4663443740258487e+01   -3.4998967422991662e+01  7.4548871627187424e+01   -3.4795312382621624e+01
14      6       0       2       0       4.895000e+03  3.600000e+01  9.7929988468643883e-02   8.3876410146980751e-01   -1.2520850276941777e+00  9.7823403290579633e-02   8.3776653825946812e-01   -1.2465103141385228e+00  5.8344651300554979e+01   6.6529066889198887e+01   5.8347188698418961e+01   6.6400883324566863e+01 
15      6       0       -2      0       5.631000e+03  3.700000e+01  9.7929988468643883e-02   -8.3876410146980751e-01  1.8895076258956156e+00   9.8038224467242946e-02   -8.3064378757914337e-01  1.8932781693782139e+00   5.8286231527285693e+01   -6.2114353995432410e+01  5.8869314373119160e+01   -6.1712311922764918e+01
16      7       1       -2      2       5.582000e+03  3.500000e+01  1.0035697453955615e-01   -3.6503789954357402e-01  1.1862707414990037e+00   1.0017343669094980e-01   -3.6432340919636874e-01  1.1936403958289046e+00   8.3389538332978589e+01   -2.9356682522934470e+01  8.3256662327105133e+01   -2.9239789400898104e+01
17      7       -1      2       -2      1.416100e+04  6.400000e+01  1.0035697453955615e-01   3.6503789954357402e-01   -1.9553219120907896e+00  1.0016446985432836e-01   3.6743307534850694e-01   -1.9562358035111369e+00  8.3248508098903216e+01   3.3930986195132121e+01   8.3011754667753507e+01   3.4066962318723036e+01 
18      8       0       -2      1       1.381100e+04  9.300000e+01  1.0154942645722700e-01   -5.9606374598337453e-01  1.7576137341039721e+00   1.0164361496817782e-01   -5.9195917692956646e-01  1.7536829205218072e+00   7.4703424033914104e+01   -4.8096052820642250e+01  7.4979253895831690e+01   -4.7836862441482495e+01
19      8       0       2       -1      1.429000e+04  9.400000e+01  1.0154942645722700e-01   5.9606374598337453e-01   -1.3839789194858212e+00  1.0135373339956370e-01   5.9640324702641789e-01   -1.3856008909670308e+00  7.4793382259108768e+01   5.2617433341197810e+01   7.4631965063700662e+01   5.2544309583863210e+01 
20      9       0       0       4       3.107100e+04  1.110000e+02  1.0640168642316696e-01   6.3808305476216653e-01   1.2980476565773409e+00   1.0669129530790630e-01   6.3692189519116493e-01   1.3110815941070793e+00   7.5776525052691753e+01   5.8227610473180263e+01   7.6044165439908511e+01   5.8294188785603012e+01 
21      9       0       0       -4      4.529700e+04  1.760000e+02  1.0640168642316696e-01   -6.3808305476216665e-01  -1.8435449970124522e+00  1.0638587049662182e-01   -6.3588388206401247e-01  -1.8282523186127726e+00  7.6297742858048167e+01   -5.3777153211504015e+01  7.6414070126209836e+01   -5.3602076393288819e+01
22      10      0       -2      2       1.650000e+02  1.600000e+01  1.1158394773373508e-01   -3.7799963751027948e-01  1.6682624441750769e+00   1.1160539706629327e-01   -3.8469794335972929e-01  1.6595357979151053e+00   9.2125490340827682e+01   -3.4090741405191238e+01  9.1901901458669059e+01   -3.4711697233530089e+01
23      10      0       2       -2      6.250000e+02  1.100000e+01  1.1158394773373508e-01   3.7799963751027943e-01   -1.4733302094147163e+00  1.1132525115349504e-01   3.8191140311464261e-01   -1.4766393536764975e+00  9.2268530491727219e+01   3.8721046259398079e+01   9.1909269794299703e+01   3.8992302516964081e+01 
24      11      -1      1       4       3.034000e+03  1.800000e+01  1.1701809854409083e-01   9.4012503443402773e-01   1.7149213407783614e+00   1.1752389312049681e-01   9.4163636769397974e-01   1.7102905232178622e+00   6.1059958407914998e+01   8.5735503063745540e+01   6.1199054754911074e+01   8.6192816582083182e+01 
25      11      -1      0       4       1.714000e+03  2.000000e+01  1.1711036034701816e-01   5.1874078893589459e-01   1.7942950043108856e+00   1.1756620966351534e-01   5.2663636332782515e-01   1.7855683580509141e+00   9.0061252208893762e+01   5.3627030073454200e+01   9.0004048594103040e+01   5.4539398330711272e+01 
26      11      0       -1      4       6.400000e+01  8.000000e+00  1.1725965794343310e-01   2.3197725326636257e-01   1.4665357470422244e+00   1.1745358341587693e-01   2.2919215339615981e-01   1.4665357470422244e+00   1.0123187384763580e+02   2.6167642607474981e+01   1.0146733858724016e+02   2.5926670874309856e+01 
27      11      1       -1      -4      3.000000e+01  6.000000e+00  1.1701809854409083e-01   -9.4012503443402773e-01  -1.4266713128114319e+00  1.1781222335374815e-01   -9.4188567359174424e-01  -1.4528512515913470e+00  6.2014347082442384e+01   -8.1406411327415896e+01  6.2279161139653525e+01   -8.2087177000613977e+01
28      11      0       1       -4      6.480000e+02  1.700000e+01  1.1725965794343310e-01   -2.3197725326636257e-01  -1.6750569065475687e+00  1.1710598397722956e-01   -2.2148585082320352e-01  -1.6817634958029171e+00  1.0166976484233180e+02   -2.1518093953500561e+01  1.0177472186679969e+02   -2.0426900576429201e+01
