#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	1.139533e+06	1.403800e+04	4.412862330997e-02	-7.335984447088e-02	-3.819127966264e-01	4.412819862858e-02	-7.345978467249e-02	-3.819965837890e-01	4.757998028330e+01	-1.083561397247e-02	-3.819965837890e-01
1     	14    	0  	-1 	4  	5.749857e+06	1.444200e+04	6.020358119157e-02	-1.329986657336e+00	9.607903488963e-01	6.020230143402e-02	-1.330000121558e+00	9.598531444873e-01	1.671267323474e+01	-5.818728364023e+01	9.598531444873e-01
2     	14    	1  	-1 	-4 	2.781220e+06	1.440800e+04	6.020494303654e-02	5.942620964763e-01	1.087231291461e-01	6.020739882228e-02	5.942375161482e-01	1.091690753855e-01	5.374419505378e+01	3.886616903698e+01	1.091690753855e-01
3     	0     	1  	-2 	0  	1.196481e+06	1.447000e+04	6.454260657522e-02	-3.937406013476e-01	3.078355784235e-01	6.454353142113e-02	-3.936635852062e-01	3.078640197921e-01	6.414710978039e+01	-2.261518777071e+01	3.078640197921e-01
4     	0     	-1 	-1 	0  	1.776079e+06	1.446200e+04	6.454300065839e-02	-6.719914517621e-01	-8.989996328137e-01	6.454178864738e-02	-6.720343197814e-01	-8.986965820552e-01	5.452623689312e+01	-3.886195707408e+01	-8.986965820552e-01
5     	8     	1  	-2 	3  	2.067040e+05	6.100000e+01	7.364832667359e-02	-7.914287910291e-01	6.684722878525e-01	7.515739802227e-02	-7.921959737792e-01	6.674059224481e-01	5.711736320396e+01	-5.290804125186e+01	6.674059224481e-01
6     	8     	1  	-2 	-3 	1.332695e+06	1.442300e+04	7.364968538711e-02	3.881716859210e-02	4.307732399397e-02	7.365195350065e-02	3.880829939796e-02	4.321814785425e-02	7.879575836454e+01	6.473369304688e+00	4.321814785425e-02
7     	8     	-1 	-1 	-3 	1.259887e+06	1.448300e+04	7.365077444228e-02	-1.714350956138e-01	-8.435309419342e-01	7.365413065638e-02	-1.715629289473e-01	-8.434650914048e-01	7.769975097627e+01	-9.769992353525e+00	-8.434650914048e-01
8     	8     	2  	-1 	-3 	1.085920e+05	7.280000e+02	7.364923110879e-02	6.242887737922e-01	7.841599437388e-01	7.330767503166e-02	6.239411476467e-01	7.845768204652e-01	6.395867937074e+01	4.851059145074e+01	7.845768204652e-01
9     	4     	0  	-2 	2  	1.096790e+05	1.007000e+03	7.819345449076e-02	-9.098548204454e-01	-1.192693773125e-01	7.820117846131e-02	-9.097886116185e-01	-1.192027811280e-01	5.202125835475e+01	-6.158737268708e+01	-1.192027811280e-01
10    	4     	2  	-2 	-2 	8.264000e+03	2.960000e+02	7.819509058011e-02	1.565280770391e-01	5.469222830527e-01	7.819386230476e-02	1.564921032069e-01	5.469222830527e-01	8.269143603704e+01	1.630460028657e+01	5.469222830527e-01
11    	17    	0  	-2 	-4 	1.495375e+06	1.449400e+04	8.827874825005e-02	-7.339317190996e-02	-4.040474245545e-01	8.827840973003e-02	-7.344688096322e-02	-4.042837698258e-01	9.405152455272e+01	-3.322146677327e+00	-4.042837698258e-01
12    	45    	1  	-2 	-6 	1.818452e+06	1.444000e+04	9.592312291134e-02	3.236169852407e-01	-1.418076734446e-01	9.592379829049e-02	3.235990591705e-01	-1.417018471686e-01	9.708777477865e+01	3.565043127491e+01	-1.417018471686e-01
13    	45    	1  	1  	-6 	1.001239e+07	1.439600e+04	9.592015787163e-02	1.477631421350e+00	9.480037694939e-01	9.592389280797e-02	1.477575031099e+00	9.483632052287e-01	1.064668908911e+01	1.039806902872e+02	9.483632052287e-01
14    	45    	-1 	-1 	-6 	1.504016e+06	1.444500e+04	9.592453093268e-02	1.577657922002e-01	-8.271994329402e-01	9.591985925219e-02	1.577944133098e-01	-8.272534458962e-01	1.010726077872e+02	1.939917357141e+01	-8.272534458962e-01
15    	45    	2  	-1 	-6 	3.738795e+06	1.442200e+04	9.592168063098e-02	8.290175770062e-01	4.084618612460e-01	9.592911319871e-02	8.289664982448e-01	4.087545817074e-01	6.952329686809e+01	7.797778401125e+01	4.087545817074e-01
16    	2     	1  	-3 	1  	1.048650e+05	8.840000e+02	9.931979679151e-02	-5.949637798492e-01	1.693271166488e-01	9.932387392643e-02	-5.949547289968e-01	1.693853691867e-01	8.820227798704e+01	-5.519402597235e+01	1.693853691867e-01
17    	2     	2  	-3 	-1 	6.731600e+04	1.417000e+03	9.932076345848e-02	-1.892564688295e-01	3.879137470965e-01	9.932388225248e-02	-1.891823437408e-01	3.879440821613e-01	1.042586603417e+02	-1.616423047020e+01	3.879440821613e-01
18    	2     	3  	-2 	-1 	2.383800e+04	3.690000e+02	9.932160956873e-02	2.185670807546e-01	9.128442194560e-01	9.933207564070e-02	2.186638803599e-01	9.123058968901e-01	1.036184762108e+02	2.623584982251e+01	9.123058968901e-01
19    	2     	-1 	-2 	1  	1.674880e+05	1.899000e+03	9.932004007237e-02	-7.978772102785e-01	-6.772886742254e-01	9.933023625087e-02	-7.978753505981e-01	-6.772161466916e-01	7.457334917269e+01	-7.149704689803e+01	-6.772161466916e-01
20    	5     	2  	-3 	2  	2.040000e+03	6.700000e+01	1.014118460926e-01	-4.744823420779e-01	6.064861822153e-01	1.013880535557e-01	-4.741857501788e-01	6.064861822153e-01	9.662546102042e+01	-4.530118715773e+01	6.064861822153e-01
21    	5     	1  	-3 	-2 	8.943900e+04	1.469000e+03	1.014123806165e-01	-2.799775576709e-01	-6.152198236077e-03	1.014196386739e-01	-2.799831753171e-01	-6.152198236077e-03	1.041603059022e+02	-2.602144668367e+01	-6.152198236077e-03
22    	5     	-1 	-2 	-2 	1.030460e+05	1.475000e+03	1.014131593875e-01	-4.428689660258e-01	-6.823895676654e-01	1.014182337459e-01	-4.428564968880e-01	-6.823895676654e-01	9.799723460939e+01	-4.230333388654e+01	-6.823895676654e-01
23    	95    	0  	-1 	-8 	5.501590e+05	4.965000e+03	1.016806158418e-01	5.374919866043e-01	-5.844624924765e-01	1.016871210463e-01	5.374518588775e-01	-5.873364172619e-01	9.325208185481e+01	5.837615954189e+01	-5.873364172619e-01
24    	95    	1  	0  	-8 	9.003760e+05	1.441200e+04	1.016780990935e-01	1.137531552487e+00	-2.516495757024e-01	1.016826596082e-01	1.137522986868e+00	-2.516079233679e-01	4.610194270307e+01	1.006894046677e+02	-2.516079233679e-01
25    	19    	1  	-3 	4  	2.707830e+06	1.448900e+04	1.093788820050e-01	-8.662949577783e-01	3.970285477709e-01	1.093819240186e-01	-8.663402492851e-01	3.993059651540e-01	7.632025548890e+01	-8.446589752449e+01	3.993059651540e-01
26    	19    	2  	-3 	-4 	1.065696e+06	1.446700e+04	1.093811338689e-01	8.204151738186e-02	1.978355146393e-01	1.093856418249e-01	8.204808548515e-02	1.975650137936e-01	1.163310224662e+02	1.300835427224e+01	1.975650137936e-01
27    	19    	3  	-2 	-4 	1.830600e+04	3.080000e+02	1.093809432436e-01	4.665348430308e-01	6.730531170277e-01	1.093800102547e-01	4.667191638408e-01	6.730531170277e-01	1.043435278293e+02	5.543942914086e+01	6.730531170277e-01
28    	19    	-1 	-2 	4  	2.603204e+06	1.446700e+04	1.093786017196e-01	-1.126919344880e+00	-6.941401427232e-01	1.093824127733e-01	-1.126901433840e+00	-6.919970356314e-01	5.109044836364e+01	-1.008058946987e+02	-6.919970356314e-01
29    	6     	3  	-3 	0  	2.890000e+04	6.660000e+02	1.118309839569e-01	-8.371629608023e-02	7.229701066717e-01	1.118368165542e-01	-8.374436398845e-02	7.229701066717e-01	1.190327772862e+02	-6.310988442870e+00	7.229701066717e-01
