#
# ID	PID	H	K	L	sum(int)	max(int)	pred tth          	pred eta          	 pred ome          	meas tth          	meas eta          	 meas ome          	meas X            	meas Y            	 meas ome
#
0     	1     	0  	-1 	-2 	1.070719e+06	1.445000e+04	4.412886756872e-02	-7.333817383807e-02	-3.818081486305e-01	4.414470862165e-02	-7.318818491819e-02	-3.818871491733e-01	4.758395231446e+01	-1.047820148750e-01	-3.818871491733e-01
1     	14    	0  	-1 	4  	5.619706e+06	1.444200e+04	6.020344197428e-02	-1.330044381439e+00	9.607955680385e-01	6.020468698809e-02	-1.330012321629e+00	9.597319384086e-01	1.659827098684e+01	-5.829475114843e+01	9.597319384086e-01
2     	14    	1  	-1 	-4 	2.647450e+06	1.440700e+04	6.020504660920e-02	5.942623448755e-01	1.088342259002e-01	6.020458000409e-02	5.943767507435e-01	1.092138463021e-01	5.366958697981e+01	3.876276106811e+01	1.092138463021e-01
3     	0     	1  	-2 	0  	1.030051e+06	1.447000e+04	6.454131061673e-02	-3.937593921774e-01	3.078947140837e-01	6.454324684081e-02	-3.938074511992e-01	3.079240866901e-01	6.405789029567e+01	-2.272785030209e+01	3.079240866901e-01
4     	0     	-1 	-1 	0  	2.002098e+06	1.446200e+04	6.454248974487e-02	-6.719620641693e-01	-8.988923870222e-01	6.454744831427e-02	-6.720319507451e-01	-8.986602290577e-01	5.457462674981e+01	-3.896684442803e+01	-8.986602290577e-01
5     	8     	1  	-2 	3  	9.850000e+04	1.003000e+03	7.364651475959e-02	-7.914814452806e-01	6.685199311336e-01	7.356877093879e-02	-7.916217626648e-01	6.679216021436e-01	5.586065934690e+01	-5.178779086948e+01	6.679216021436e-01
6     	8     	1  	-2 	-3 	1.403569e+06	1.442300e+04	7.364941682616e-02	3.881991292751e-02	4.316255549916e-02	7.366444096284e-02	3.897846037663e-02	4.329309747101e-02	7.874512930347e+01	6.381043074403e+00	4.329309747101e-02
7     	8     	-1 	-1 	-3 	1.391781e+06	1.448100e+04	7.365023255236e-02	-1.714002990245e-01	-8.434045730816e-01	7.365624813052e-02	-1.713360958158e-01	-8.433196629961e-01	7.774016349563e+01	-9.857228259317e+00	-8.433196629961e-01
8     	8     	2  	-1 	-3 	8.833200e+04	7.810000e+02	7.364734938629e-02	6.242801881306e-01	7.842646693581e-01	7.339982302689e-02	6.245871343856e-01	7.843275021596e-01	6.389677982747e+01	4.850068818184e+01	7.843275021596e-01
9     	4     	0  	-2 	2  	1.102520e+05	1.508000e+03	7.819315522059e-02	-9.098546798255e-01	-1.192392524199e-01	7.819376699818e-02	-9.098119586731e-01	-1.191965104380e-01	5.197092587726e+01	-6.168140454120e+01	-1.191965104380e-01
10    	4     	2  	-2 	-2 	7.123000e+03	1.170000e+02	7.819263179666e-02	1.565137391814e-01	5.470057008003e-01	7.820399654838e-02	1.564209963593e-01	5.470057008003e-01	8.260060355167e+01	1.619395217459e+01	5.470057008003e-01
11    	17    	0  	-2 	-4 	1.634513e+06	1.449400e+04	8.827923712479e-02	-7.337148585896e-02	-4.039428639320e-01	8.827623095106e-02	-7.340408493815e-02	-4.041905075788e-01	9.403271861656e+01	-3.422936504923e+00	-4.041905075788e-01
12    	45    	1  	-2 	-6 	1.762890e+06	1.444000e+04	9.592373005653e-02	3.236259457410e-01	-1.417006966605e-01	9.592390326379e-02	3.237300311106e-01	-1.416363342472e-01	9.703734722986e+01	3.555392325570e+01	-1.416363342472e-01
13    	45    	1  	1  	-6 	9.797660e+06	1.439600e+04	9.592039961846e-02	1.477585236680e+00	9.483244333335e-01	9.592354441785e-02	1.477566311565e+00	9.486504647768e-01	1.053359672275e+01	1.038727057105e+02	9.486504647768e-01
14    	45    	-1 	-1 	-6 	1.649856e+06	1.444400e+04	9.592418942857e-02	1.578026144609e-01	-8.270623800881e-01	9.593130717954e-02	1.577794365812e-01	-8.270503098185e-01	1.011158792879e+02	1.929242798339e+01	-8.270503098185e-01
15    	45    	2  	-1 	-6 	3.617113e+06	1.442100e+04	9.592119424430e-02	8.290108064202e-01	4.085796391115e-01	9.591857147454e-02	8.289818663301e-01	4.088520493788e-01	6.942158384288e+01	7.785950175089e+01	4.088520493788e-01
16    	2     	1  	-3 	1  	1.007010e+05	1.869000e+03	9.931847721998e-02	-5.949788546183e-01	1.693759430180e-01	9.932469311813e-02	-5.950066853391e-01	1.694181892723e-01	8.812419474528e+01	-5.529962865300e+01	1.694181892723e-01
17    	2     	2  	-3 	-1 	6.327600e+04	1.463000e+03	9.931816795958e-02	-1.892754986468e-01	3.879826703266e-01	9.932257031963e-02	-1.892781044956e-01	3.879826703266e-01	1.041613371862e+02	-1.627821537666e+01	3.879826703266e-01
18    	2     	3  	-2 	-1 	2.351200e+04	5.780000e+02	9.931683112097e-02	2.185450000489e-01	9.129424686738e-01	9.932202732068e-02	2.184762969121e-01	9.121478212749e-01	1.034971088831e+02	2.610805594822e+01	9.121478212749e-01
19    	2     	-1 	-2 	1  	1.616640e+05	1.157000e+03	9.931980939194e-02	-7.978518244116e-01	-6.772066250778e-01	9.932213469052e-02	-7.978555448893e-01	-6.771193931625e-01	7.458566851274e+01	-7.158701614437e+01	-6.771193931625e-01
20    	5     	2  	-3 	2  	1.260000e+03	6.300000e+01	1.014083463520e-01	-4.745242357374e-01	6.065485264647e-01	1.014166574436e-01	-4.751060121548e-01	6.021852033347e-01	9.650123758964e+01	-4.550585193679e+01	6.021852033347e-01
21    	5     	1  	-3 	-2 	8.480900e+04	2.092000e+03	1.014118132090e-01	-2.799759490527e-01	-6.080324930355e-03	1.014211236450e-01	-2.800055604221e-01	-6.080324930355e-03	1.041002595345e+02	-2.612703694209e+01	-6.080324930355e-03
22    	5     	-1 	-2 	-2 	1.042860e+05	1.152000e+03	1.014129596705e-01	-4.428399831634e-01	-6.822843471043e-01	1.014210694521e-01	-4.428691237065e-01	-6.822843471043e-01	9.801431510004e+01	-4.240652965629e+01	-6.822843471043e-01
23    	95    	0  	-1 	-8 	5.862600e+05	6.899000e+03	1.016814658144e-01	5.375164317054e-01	-5.843196850433e-01	1.016936456976e-01	5.375362602561e-01	-5.870600508363e-01	9.325780505542e+01	5.827586955273e+01	-5.870600508363e-01
24    	95    	1  	0  	-8 	1.039490e+06	1.441300e+04	1.016788803155e-01	1.137532918080e+00	-2.514562418628e-01	1.016857124664e-01	1.137511669624e+00	-2.514291969746e-01	4.607549977995e+01	1.005756794331e+02	-2.514291969746e-01
25    	19    	1  	-3 	4  	2.796029e+06	1.448900e+04	1.093771400149e-01	-8.663322404673e-01	3.970569099381e-01	1.093853785390e-01	-8.662836792052e-01	3.992481649404e-01	7.623475388440e+01	-8.456401739895e+01	3.992481649404e-01
26    	19    	2  	-3 	-4 	9.227190e+05	1.446700e+04	1.093797933780e-01	8.203743954600e-02	1.979173455237e-01	1.093786607388e-01	8.205616163516e-02	1.976431526996e-01	1.162428877435e+02	1.290203551569e+01	1.976431526996e-01
27    	19    	3  	-2 	-4 	1.972800e+04	4.210000e+02	1.093777478103e-01	4.665253540962e-01	6.731507629470e-01	1.093914563932e-01	4.664592711143e-01	6.731507629470e-01	1.042586299140e+02	5.530995352774e+01	6.731507629470e-01
28    	19    	-1 	-2 	4  	2.538830e+06	1.446600e+04	1.093784969177e-01	-1.126897726398e+00	-6.941026633039e-01	1.093854246879e-01	-1.126910265412e+00	-6.919442445641e-01	5.111197405026e+01	-1.009036864956e+02	-6.919442445641e-01
