# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      9.517710e+05  1.445000e+04  4.4131140611623168e-02   -7.3355686864335620e-02  -3.8130780854070984e-01  4.4130731656750730e-02   -7.3440826265621900e-02  -3.8140551181444510e-01  4.7707791709110019e+01   -4.3884015557390799e-02  4.7707080953196346e+01   -4.7792653988026616e-02
1       1       0       -1      4       5.569275e+06  1.444200e+04  6.0194483834767505e-02   -1.3295617888777442e+00  9.6122681167574553e-01   6.0217722237531093e-02   -1.3301461723348271e+00  9.5997517170057090e-01   1.6713649650621107e+01   -5.8194445232863600e+01  1.6683639314239620e+01   -5.8227148166641044e+01
2       1       1       -1      -4      2.627252e+06  1.440900e+04  6.0181588318147169e-02   5.9418888610841458e-01   1.0888132295371541e-01   6.0197470053448693e-02   5.9416656741589990e-01   1.0917962140168426e-01   5.3803933649821950e+01   3.8801056809065187e+01   5.3818579148057744e+01   3.8809291711851337e+01 
3       2       1       -2      0       1.195920e+06  1.447100e+04  6.4541855858995953e-02   -3.9377477485930196e-01  3.0829559902577736e-01   6.4546527955318428e-02   -3.9397723896199222e-01  3.0831764330829742e-01   6.4197388131826855e+01   -2.2653169651519203e+01  6.4196697932146009e+01   -2.2667755464285733e+01
4       2       -1      -1      0       1.765422e+06  1.446000e+04  6.4527402475883053e-02   -6.7185342521982294e-01  -8.9780932890793919e-01  6.4547087234108069e-02   -6.7226687329544710e-01  -9.0187866895833135e-01  5.4653960725577932e+01   -3.8875850201536316e+01  5.4652768740212409e+01   -3.8910744919885744e+01
5       4       1       -2      3       1.145280e+05  8.530000e+02  7.3648656995226353e-02   -7.9131388159565597e-01  6.6898444716091499e-01   7.3526479235118791e-02   -7.9308413095155006e-01  6.6775109060455307e-01   5.6050466633936566e+01   -5.1750210131058736e+01  5.5862285921452226e+01   -5.1755074555704283e+01
6       4       1       -2      -3      1.416157e+06  1.442300e+04  7.3643157956697639e-02   3.8695053107350004e-02   4.3455324546133746e-02   7.3644697745165216e-02   3.8540195417012958e-02   4.3601239340037158e-02   7.8869922156555347e+01   6.4253455366889902e+00   7.8872039365995562e+01   6.4134219596145634e+00 
7       4       -1      -1      -3      1.467230e+06  1.448200e+04  7.3646632252350880e-02   -1.7131827750300094e-01  -8.4266287697098763e-01  7.3646076956144821e-02   -1.7158711828979065e-01  -8.4261170294617849e-01  7.7825971755822010e+01   -9.7864223883766908e+00  7.7821887972329179e+01   -9.8068604171706504e+00
8       4       2       -1      -3      8.990400e+04  7.190000e+02  7.3596452406158905e-02   6.2436978971038792e-01   7.8461924955665807e-01   7.3361145189799776e-02   6.2460896100849250e-01   7.8538151100308495e-01   6.4173015267073694e+01   4.8664413304867615e+01   6.3960930221203149e+01   4.8533650641499243e+01 
9       6       0       -2      -4      1.595338e+06  1.449300e+04  8.8283786535308148e-02   -7.3389469747637562e-02  -4.0344369355393472e-01  8.8287240121326327e-02   -7.3604388390724848e-02  -4.0371824569633802e-01  9.4175266681712884e+01   -3.3540008636086207e+00  9.4177489944099506e+01   -3.3741917817068949e+00
10      7       1       -2      -6      1.817007e+06  1.444400e+04  9.5909848339593595e-02   3.2347889661883061e-01   -1.4149022868983685e-01  9.5927722082423672e-02   3.2352423959053739e-01   -1.4143957399334756e-01  9.7173635278575489e+01   3.5589033828665272e+01   9.7190118460658411e+01   3.5599439048943431e+01 
11      7       1       1       -6      9.762387e+06  1.439600e+04  9.5883756155798971e-02   1.4781201677714477e+00   9.4917168937421859e-01   9.5914013246476942e-02   1.4775611408333496e+00   9.4969216599004957e-01   1.0566279224296945e+01   1.0387663225221803e+02   1.0625442600943583e+01   1.0390345421448423e+02 
12      7       -1      -1      -6      1.621803e+06  1.444500e+04  9.5924919411860377e-02   1.5778276868904692e-01   -8.2650370395537864e-01  9.5926775953976404e-02   1.5776462677225042e-01   -8.2656271282773253e-01  1.0120588135818278e+02   1.9359118546786220e+01   1.0120811587456103e+02   1.9357622215644440e+01 
13      7       2       -1      -6      3.815818e+06  1.442200e+04  9.5863673545639447e-02   8.2915873361293535e-01   4.0862738920751263e-01   9.5919396502843951e-02   8.2894829804969750e-01   4.0897555005970193e-01   6.9499587303575751e+01   7.7879262594536627e+01   6.9555097892313711e+01   7.7908574321042181e+01 
14      11      1       -3      4       2.691188e+06  1.448900e+04  1.0938083751108862e-01   -8.6608832198835228e-01  3.9764504376454890e-01   1.0939362180653997e-01   -8.6644626123211832e-01  3.9540507567232697e-01   7.6378865040273396e+01   -8.4458330038929475e+01  7.6356290527732341e+01   -8.4495494425640473e+01
15      11      2       -3      -4      1.032687e+06  1.446700e+04  1.0935951810104684e-01   8.1887698557296593e-02   1.9817796256148656e-01   1.0938297668695098e-01   8.1896333887838124e-02   1.9791489231394868e-01   1.1636104469591028e+02   1.2947267014367347e+01   1.1638580843730924e+02   1.2950356799332512e+01 
