# ID    PID     H       K       L       sum(int)      max(int)      pred tth                 pred eta                 pred ome                 meas tth                 meas eta                 meas ome                 pred X                   pred Y                   meas X                   meas Y                 
0       0       0       -1      -2      1.110332e+06  1.445000e+04  4.4135381770830109e-02   -7.3360365450772722e-02  -3.8175113897715079e-01  4.4137361287483731e-02   -7.3433203736103514e-02  -3.8183227252039886e-01  4.7650801726923632e+01   -2.1915531898079435e-04  4.7652651958642565e+01   -3.7370017305152262e-03
1       1       0       -1      4       5.262113e+06  1.444100e+04  6.0220535193561249e-02   -1.3298583295810906e+00  9.6108911921930007e-01   6.0222316136398203e-02   -1.3296542484797778e+00  9.5992750930145976e-01   1.6526671721715950e+01   -5.8182957875665309e+01  1.6539651947326149e+01   -5.8181652208901049e+01
2       1       1       -1      -4      2.776689e+06  1.440700e+04  6.0213757536936259e-02   5.9427334264276976e-01   1.0891710979343278e-01   6.0225666484730260e-02   5.9409916427756349e-01   1.0937982313255222e-01   5.3696215930606087e+01   3.8863934953086179e+01   5.3712744726528229e+01   3.8861862555225734e+01 
3       2       1       -2      0       1.137266e+06  1.447000e+04  6.4558812756308828e-02   -3.9378877370847093e-01  3.0814336008197668e-01   6.4568864276447452e-02   -3.9369607249152871e-01  3.0816723189078377e-01   6.4059486815842916e+01   -2.2615010837743732e+01  6.4071684785744168e+01   -2.2613236288030574e+01
4       2       -1      -1      0       1.937756e+06  1.446000e+04  6.4554062713413018e-02   -6.7198530334094331e-01  -8.9885407806255868e-01  6.4534358616642293e-02   -6.7219596714936103e-01  -8.9857538693022376e-01  5.4697583804855945e+01   -3.8849524867637768e+01  5.4672371882463054e+01   -3.8847836001633063e+01
5       4       1       -2      3       1.262560e+05  1.120000e+03  7.3673635204214410e-02   -7.9139324553328427e-01  6.6879597387315570e-01   7.3521258054640604e-02   -7.9020131833436402e-01  6.6825909463712474e-01   5.5890422903700674e+01   -5.1727844972250388e+01  5.5842464958742831e+01   -5.1548620957974002e+01
6       4       1       -2      -3      1.371580e+06  1.442300e+04  7.3661493942952974e-02   3.8782964335021076e-02   4.3315480529973839e-02   7.3678285892820064e-02   3.8628224348756152e-02   4.3475789501500287e-02   7.8760993260744286e+01   6.4761119696581781e+00   7.8779182591187265e+01   6.4648552854328436e+00 
7       4       -1      -1      -3      1.439617e+06  1.448300e+04  7.3665564124980112e-02   -1.7139412896707695e-01  -8.4343097242852871e-01  7.3645925175462312e-02   -1.7167782626986450e-01  -8.4337611025895454e-01  7.7858293476361453e+01   -9.7495633525481882e+00  7.7834142992925237e+01   -9.7677415266059331e+00
8       4       2       -1      -3      9.358300e+04  8.490000e+02  7.3662824847524219e-02   6.2423078896396333e-01   7.8441699310604129e-01   7.3411427818589919e-02   6.2455968015887142e-01   7.8494861327560295e-01   6.4059693135631974e+01   4.8739618201709582e+01   6.3829753560994064e+01   4.8604551674368224e+01 
9       6       0       -2      -4      1.610451e+06  1.449300e+04  8.8292275058055994e-02   -7.3394160191845512e-02  -4.0388916102338762e-01  8.8302818181078588e-02   -7.3487903930069765e-02  -4.0413904168764403e-01  9.4118965271656549e+01   -3.3103283777240513e+00  9.4129515157224887e+01   -3.3198146077541706e+00
10      7       1       -2      -6      1.860739e+06  1.444000e+04  9.5937043156673882e-02   3.2362278048757559e-01   -1.4163336725351378e-01  9.5946095203358395e-02   3.2351580736562124e-01   -1.4152302136592410e-01  9.7090241376656707e+01   3.5651017991968743e+01   9.7102777256856669e+01   3.5643847567126699e+01 
11      7       1       1       -6      9.539637e+06  1.439600e+04  9.5939849384034631e-02   1.4777403011907659e+00   9.4794713811189135e-01   9.5935015711221733e-02   1.4772589742098972e+00   9.4844837952164274e-01   1.0434222547039070e+01   1.0397719242953042e+02   1.0482221273227669e+01   1.0396765830749470e+02 
12      7       -1      -1      -6      1.654137e+06  1.444500e+04  9.5946496071659393e-02   1.5780818734364194e-01   -8.2712898776208144e-01  9.5929004698949577e-02   1.5775494446780769e-01   -8.2719152794351070e-01  1.0123489779641812e+02   1.9406471959534006e+01   1.0121746463831946e+02   1.9398204966735470e+01 
13      7       2       -1      -6      3.268439e+06  1.442200e+04  9.5936403912819032e-02   8.2902758147011990e-01   4.0867437897351599e-01   9.5953609463817049e-02   8.2894249268926923e-01   4.0888516805935554e-01   6.9398992025681508e+01   7.7965172435205844e+01   6.9417621616990573e+01   7.7972850727327540e+01 
14      10      0       -1      -8      6.042580e+05  7.216000e+03  1.0170168785652145e-01   5.3752321565029748e-01   -5.8440476064204827e-01  1.0169201387013879e-01   5.3747957544749181e-01   -5.8759545755984555e-01  9.3349435860359421e+01   5.8377291485097409e+01   9.3343551496547974e+01   5.8368002506372825e+01 
15      10      1       0       -8      9.561990e+05  1.441000e+04  1.0169835099517584e-01   1.1375712139401781e+00   -2.5168615030067726e-01  1.0169087398178663e-01   1.1375037118905058e+00   -2.5166369025162283e-01  4.6136857934670566e+01   1.0067581539424827e+02   4.6140111887881858e+01   1.0066558127561989e+02 
16      11      1       -3      4       2.763451e+06  1.448900e+04  1.0941186349967907e-01   -8.6627698172235379e-01  3.9737814579931013e-01   1.0942175029731635e-01   -8.6623604489765049e-01  3.9544170228969944e-01   7.6221659268611063e+01   -8.4447246772734431e+01  7.6232205079210402e+01   -8.4452146915560007e+01
17      11      2       -3      -4      1.026338e+06  1.446600e+04  1.0940065666251826e-01   8.1993547357186433e-02   1.9809421379470857e-01   1.0941880268181310e-01   8.1944862909458724e-02   1.9785032653924509e-01   1.1625437166543988e+02   1.3005626500829763e+01   1.1627408641544363e+02   1.3001653424624925e+01 
18      11      3       -2      -4      1.393200e+04  2.040000e+02  1.0940263780641639e-01   4.6646501780380378e-01   6.7331622903588806e-01   1.0942004504551421e-01   4.6633456855470318e-01   6.7331622903588806e-01   1.0419264949376419e+02   5.5412108961078125e+01   1.0421595530121100e+02   5.5407040214561086e+01 
19      11      -1      -2      4       3.077969e+06  1.446800e+04  1.0939978610833472e-01   -1.1269658294858838e+00  -6.9386161171319116e-01  1.0940782403154947e-01   -1.1270440766504293e+00  -6.9175583630304027e-01  5.1216457817821066e+01   -1.0078544565810840e+02  5.1211656310261795e+01   -1.0079705460987904e+02
20      12      0       -3      0       4.035829e+06  1.449800e+04  1.1185023929888496e-01   -6.2063448151059819e-01  -2.6942921212203341e-01  1.1186234866348715e-01   -6.2068176633394179e-01  -2.6943414323204723e-01  9.7488414531824262e+01   -6.5085856941028297e+01  9.7495676204426431e+01   -6.5097868111563599e+01
21      12      3       -3      0       2.558000e+04  7.390000e+02  1.1186538549491347e-01   -8.3795506216766527e-02  7.2324718629370366e-01   1.1188357423747845e-01   -8.3804099976533597e-02  7.2324718629370366e-01   1.1886810981159634e+02   -6.3112457339738990e+00  1.1888730924028761e+02   -6.3138311081844032e+00
22      15      1       -1      -10     2.665935e+06  1.445300e+04  1.2403562538821490e-01   8.0188015031335680e-01   -3.3582449710456597e-01  1.2403291118725007e-01   8.0188066244552980e-01   -3.3605463282254383e-01  9.2205824056324332e+01   9.7597709391838436e+01   9.2203802070246539e+01   9.7595669852663931e+01 
23      15      -1      0       -10     1.892477e+06  1.446500e+04  1.2405112589604320e-01   6.3610080595942819e-01   -9.9541741944337536e-01  1.2402302972115746e-01   6.3622777148010290e-01   -9.9500018154112302e-01  1.0663968863868006e+02   8.1324507436482179e+01   1.0660565420614270e+02   8.1319997971035548e+01 
24      16      1       -2      -9      4.347910e+05  5.899000e+03  1.2452433075290886e-01   4.8651412663897181e-01   -2.7561057609497458e-01  1.2453150359044990e-01   4.8648285656426321e-01   -2.7551315195108500e-01  1.1742466664356368e+02   6.5019031522216054e+01   1.1743333770430020e+02   6.5018995303401638e+01 
25      16      1       1       -9      1.789655e+06  1.441000e+04  1.2452881072510406e-01   1.4305349420000968e+00   -6.4559255299563778e-01  1.2451948654250286e-01   1.4305354415018614e+00   -6.4545984339260742e-01  1.9511429388606579e+01   1.3353286227401327e+02   1.9509974014480825e+01   1.3352301487549008e+02 
26      16      -1      -1      -9      3.625520e+05  5.716000e+03  1.2453649997506083e-01   3.5061200908770063e-01   -8.2777640476605630e-01  1.2451384728608106e-01   3.5060355279629013e-01   -8.2784081623087158e-01  1.2481805868773171e+02   4.8730958743272964e+01   1.2479578039753419e+02   4.8721564425220969e+01 
27      16      2       -1      -9      7.605940e+05  1.087800e+04  1.2452255610563968e-01   9.1229955476679769e-01   1.0640291997166969e-01   1.2453157692381323e-01   9.1224345151642472e-01   1.0645577821051944e-01   8.1522464615663409e+01   1.0745044875330434e+02   8.1534172473267660e+01   1.0745357173838771e+02 
28      18      2       -4      0       5.530880e+05  7.025000e+03  1.2918501615854730e-01   -3.9440864800383479e-01  2.7314810210867863e-01   1.2919442693474273e-01   -3.9437889607632143e-01  2.7318570118520447e-01   1.2738522190435719e+02   -4.8844959758935971e+01  1.2739605901373794e+02   -4.8845049397300500e+01
29      18      -2      -2      0       1.005740e+06  1.451200e+04  1.2917550118052001e-01   -6.7319554371294332e-01  -9.4015874781404640e-01  1.2916767752589292e-01   -6.7334884390392746e-01  -9.4010785814045816e-01  1.0833341120342000e+02   -8.1519748057953237e+01  1.0831385856811180e+02   -8.1530934899666519e+01
30      21      2       -4      3       2.901200e+05  3.036000e+03  1.3398605597230298e-01   -6.1532457056396339e-01  4.3676256845208195e-01   1.3398531000226549e-01   -6.1525144260111186e-01  4.3542594355020953e-01   1.1708445645316375e+02   -7.8161584738815435e+01  1.1708983197876759e+02   -7.8152641181133191e+01
31      21      2       -4      -3      1.754590e+05  2.559000e+03  1.3397267648763028e-01   -1.6467016487989961e-01  1.2985994027200620e-01   1.3398027105912030e-01   -1.6464269762165931e-01  1.2988361465530798e-01   1.4100684791421008e+02   -1.9589284391735756e+01  1.4101548957297962e+02   -1.9586760193274966e+01
32      21      -2      -2      -3      2.518800e+05  4.627000e+03  1.3397257347202629e-01   -4.0564117265993643e-01  -9.0009924385034834e-01  1.3396592308085917e-01   -4.0580063943089922e-01  -9.0006111587588000e-01  1.3165912322789393e+02   -5.2262357782613151e+01  1.3164371576528944e+02   -5.2280325883378303e+01
33      21      4       -2      -3      2.058180e+05  4.039000e+03  1.3397799303946525e-01   4.5270640677734925e-01   9.4122840786258066e-01   1.3399067038389773e-01   4.5265326465944417e-01   9.4126444771002349e-01   1.2843481287767511e+02   6.5507360537698062e+01   1.2845029907475381e+02   6.5506561011423727e+01 
34      21      -2      -2      3       5.095300e+05  7.052000e+03  1.3396780647831966e-01   -9.4073405361948070e-01  -1.0182484192081054e+00  1.3396972068977606e-01   -9.4084415885327555e-01  -1.0181363068174361e+00  8.5157657837221748e+01   -1.1089245307195553e+02  8.5146280890961933e+01   -1.1090332129200296e+02
35      23      1       -4      2       2.925610e+05  3.395000e+03  1.3653489279883416e-01   -6.8799295182149001e-01  7.7308814551034416e-02   1.3654989908319956e-01   -6.8793488619017307e-01  7.7384966628384816e-02   1.1300633311053386e+02   -8.8077804561280288e+01  1.1302406011255637e+02   -8.8081487683148850e+01
36      23      3       -4      -2      1.336320e+05  2.524000e+03  1.3653718030313858e-01   -9.2520322565929680e-02  4.1215670069410792e-01   1.3654826403696674e-01   -9.2442515877572767e-02  4.1204349696078307e-01   1.4500367913357809e+02   -9.7074213172514430e+00  1.4501651061936104e+02   -9.6973068043617303e+00
37      23      4       -3      -2      8.670000e+02  5.100000e+01  1.3654080847813804e-01   2.0407926499000259e-01   7.8761194848769722e-01   1.3653439182647620e-01   2.0438528991540808e-01   7.8761194848769722e-01   1.4251867120891689e+02   3.2865077501899385e+01   1.4250288768843259e+02   3.2906890152380718e+01 
38      23      -1      -3      2       3.788710e+05  3.234000e+03  1.3652667132182825e-01   -8.4537765918746688e-01  -5.6970272481151496e-01  1.3653696441264640e-01   -8.4540664827869427e-01  -5.6967642079239267e-01  9.7393641953065213e+01   -1.0444708287393637e+02  9.7397843066933149e+01   -1.0445809244219306e+02
39      25      0       -2      -10     6.939640e+05  1.031300e+04  1.3986956023635505e-01   3.5724277236017876e-01   -5.4443258270790773e-01  1.3986473279252104e-01   3.5719469382347535e-01   -5.4458813633062575e-01  1.3980788146945511e+02   5.5314057507471354e+01   1.3980556798865805e+02   5.5305584759616366e+01 
40      25      2       0       -10     1.365402e+06  1.443700e+04  1.3986440735568337e-01   1.1833423422266918e+00   1.4156185809777699e-01   1.3987078145575227e-01   1.1832046250706589e+00   1.4185960477310791e-01   5.6872150648875632e+01   1.4033710459312363e+02   5.6893555020106966e+01   1.4033577559947673e+02 
41      26      0       0       -12     1.058381e+06  1.440000e+04  1.4199601798653394e-01   8.9522205252750930e-01   -8.0206553977821704e-01  1.4198299499835296e-01   8.9529095577483087e-01   -8.0204963463570655e-01  9.5070328952541374e+01   1.2066596675891857e+02   9.5053538573757947e+01   1.2066150732773556e+02 
42      27      3       -4      4       1.467800e+04  2.420000e+02  1.4258292024752769e-01   -4.9728074447968190e-01  7.3325475227193371e-01   1.4257611007132892e-01   -4.9719869807118666e-01  7.2934714343260509e-01   1.3396223604316231e+02   -6.8332138683365670e+01  1.3396170268126770e+02   -6.8317740610628093e+01
43      27      1       -4      -4      3.706210e+05  6.068000e+03  1.4255557223288032e-01   -2.2152162556133875e-01  -1.5173886207795506e-01  1.4256480020904011e-01   -2.2148214108054814e-01  -1.5469011913631076e-01  1.4848364071152454e+02   -2.9487290417733679e+01  1.4849497413577106e+02   -2.9483623417221693e+01
44      27      -1      -3      -4      4.050660e+05  7.551000e+03  1.4255622661895573e-01   -3.3434634686416126e-01  -6.1533523473159679e-01  1.4255738890501696e-01   -3.3443356986991091e-01  -6.1520723245850151e-01  1.4392738079964835e+02   -4.5842941616340781e+01  1.4392425172426661e+02   -4.5855777509352073e+01
45      29      2       -4      6       6.152700e+04  6.390000e+02  1.4744748004252661e-01   -7.9341611739501694e-01  6.1626674267139447e-01   1.4744507594913525e-01   -7.9348621451033097e-01  6.1626674267139447e-01   1.1096182700467337e+02   -1.0765256762770855e+02  1.1095223750971108e+02   -1.0765842270566826e+02
46      29      2       -4      -6      6.977750e+05  1.324300e+04  1.4742314790648164e-01   3.8895543193194361e-02   6.4068102633724339e-03   1.4744293416731563e-01   3.8904560970346627e-02   6.3078597059450471e-03   1.5715981569080978e+02   9.7171163515949477e+00   1.5718099415109182e+02   9.7193969452614493e+00 
47      29      -2      -2      -6      7.263040e+05  9.122000e+03  1.4743130490092132e-01   -1.7171399385959973e-01  -8.8086321241602117e-01  1.4740885188742495e-01   -1.7183543777345009e-01  -8.8499962356707984e-01  1.5520177948484678e+02   -2.3002478599747132e+01  1.5517551091507752e+02   -2.3017083373401334e+01
48      29      4       -2      -6      5.830300e+04  1.059000e+03  1.4742581515337350e-01   6.2574418074330818e-01   7.3894144611042711e-01   1.4743673568486032e-01   6.2556630886565978e-01   7.3894144611042711e-01   1.2748052586532003e+02   9.4935591279618009e+01   1.2750631068818653e+02   9.4920026871452251e+01 
49      30      4       -4      2       5.956000e+03  1.310000e+02  1.5108965870254770e-01   -2.0648786813513426e-01  8.0241855696245268e-01   1.5103563730436004e-01   -2.0605189959238912e-01  8.0241855696245268e-01   1.5786969991889129e+02   -2.9133173077833991e+01  1.5782695011640496e+02   -2.9053148370458647e+01
50      30      0       -4      -2      2.451940e+05  3.744000e+03  1.5106177098712389e-01   -4.6990533806873785e-01  -3.3713676016345068e-01  1.5107815783066628e-01   -4.6986117769346214e-01  -3.3710234387702692e-01  1.4408645761089574e+02   -6.8766899570030745e+01  1.4410535651601600e+02   -6.8768535283703812e+01
51      31      1       -3      10      9.000840e+05  9.636000e+03  1.5411061681843072e-01   -1.1235705479875360e+00  9.5929069631943087e-01   1.5410608649580690e-01   -1.1236858974249719e+00  9.6256785698695946e-01   7.2193262035530722e+01   -1.4370274867549932e+02  7.2174270413390801e+01   -1.4370662152199421e+02
